jobTitle,position,minBudget,maxBudget,location,description,jobType,skills,recruiter,client,minExp,maxExp,noticePeriod,status,jobId,vacancies,priority,workType,preprocessed_description,preprocessed_skills,combined_text
Plant Maintenance Engineer,Plant Maintenance Engineer,300000.0,600000.0,{Hyderabad},"Read and understand the data from P&ID, PEFS, SLD, I/O list, line list, Cause & effect, Hazardous area classification, Alarm & Trip, F&G etc. Populating technical details from Various sources. Preparing Asset & maintenance plan data. Preparation of SPIR data. Bill of Material Build.
Immediate/30 days.
02 to 05 Years experience
Education : B.E or B.Tech - MECH/EEE/ECE/IE/ICE",Permanent,"{""Plant Maintenance""}",DB413862,CIHI7757,2.0,5.0,15-30 days,Active,JDA&5399,2.0,High,Work from Office,read understand datum pef sld list line list cause effect hazardous area classification alarm trip etc populate technical detail various source prepare asset maintenance plan datum preparation spir datum bill material build day year experience education mech eee ece ie ice,plant maintenance,read understand datum pef sld list line list cause effect hazardous area classification alarm trip etc populate technical detail various source prepare asset maintenance plan datum preparation spir datum bill material build day year experience education mech eee ece ie ice plant maintenance
Adobe Analytics developer,AdobeAnalyticsdeveloper,14.0,15.0,{ChennaiBangaloreHyderabad},"An understanding of the marketing technologies and their data and reporting capabilities.
Build of wireframes to present dashboards and reports in the best possible way to various different types of
stakeholders
Support managing standardization of BMC’s analytics reporting and dashboard capabilities
 Manage Quality Assurance and User Acceptance Testing the end-products and underlying data use
(correctness and completeness)
Work on all data collection platforms (website, video, advertising, social, CRM, etc.), identify and report
improvement areas, and provide support for any ad hoc report requests from stakeholders.
Provide performance analysis report with key highlights, insights &amp;amp; recommendations for future
Ability to translate data visualization requirements into wireframes and end-products for various internal
audiences.
Create data visualizations and business dashboards based on analytical data from multiple technologies.
",Permanent,"{""Adobe anaytics"",Agile,tableau,Marketo,""power  BI"",sprinkler}",Venkata Sai Rohith,CIHW9344,3.0,4.0,15-30 days,Active,JDAA1476,1.0,High,Work from Office,understanding marketing technology datum reporting capability build wireframe present dashboard report good possible way various different type stakeholder support manage standardization bmc analytic reporting dashboard capability manage quality assurance user acceptance test end product underlie data use correctness completeness work datum collection platform website video advertising social crm etc identify report improvement area provide support ad hoc report request stakeholder provide performance analysis report key highlight insight recommendation future ability translate data visualization requirement wireframe end product various internal audience create data visualization business dashboard base analytical datum multiple technology,adobe tableau,understanding marketing technology datum reporting capability build wireframe present dashboard report good possible way various different type stakeholder support manage standardization bmc analytic reporting dashboard capability manage quality assurance user acceptance test end product underlie data use correctness completeness work datum collection platform website video advertising social crm etc identify report improvement area provide support ad hoc report request stakeholder provide performance analysis report key highlight insight recommendation future ability translate data visualization requirement wireframe end product various internal audience create data visualization business dashboard base analytical datum multiple technology adobe tableau
AEM architect,Aemarchitect,12.0,15.0,{bangalore},"To analyze, understand the client’s business use cases and technical requirements and be able to
design, build &amp; integrate AEM Platform Templates,  
Components, Services to internal and external applications.",Permanent,"{JIRA,Confluence,AEM}",Venkata Sai Rohith,CIHW9344,4.0,6.0,30-45 days,Active,JDAA5139,2.2666666666666666,Low,Work from Office,analyze understand client business use case technical requirement able design build amp integrate aem platform template component service internal external application,jira confluence aem,analyze understand client business use case technical requirement able design build amp integrate aem platform template component service internal external application jira confluence aem
Azure Administrator ,Azure Administrator ,14.0,16.0,"{""Pan India""}","1.	Architecture and Design for large scale Azure hybrid cloud deployments with Azure Kubernetes Services and Azure Public Cloud  2.	Provision Dev/Test/Prod Infrastructure as code using Azure CLI, Powershell, Terraform 3.	Define the architecture for high availability, data redundancy, data loss prevention, site recovery and resilience 4.	Define and implement the architecture for high throughput and scale with capacity planning, load balancing strategies 5.	Define and implement the security architecture to ensure data security at rest and in transit, application security, key management, identity management, authentication and authorization with OIDC and OAuth2, infrastructure security with Azure VNets, NSGs, UDR, etc. 6.	Define the log analytics and monitoring architecture using Azure Monitor, Azure Application Insights 7.	Deploy infrastructure, applications and software-defined networking through CI/CD pipeline using Azure DevOps Certifications (One of the following certifications is r",Permanent,"{""Azure Administrator ""}",PC138515,CIQC2196,6.0,8.0,45-60 days,Active,JDAA6310,1.0,High,Work from Office,architecture design large scale azure hybrid cloud deployment azure kubernete service azure public cloud provision dev test prod infrastructure code use azure cli powershell terraform define architecture high availability data redundancy datum loss prevention site recovery resilience define implement architecture high throughput scale capacity planning load balancing strategy define implement security architecture ensure data security rest transit application security key management identity management authentication authorization oidc infrastructure security azure vnet nsgs udr etc define log analytic monitor architecture use azure monitor azure application insight deploy infrastructure application software define networking ci cd pipeline use azure devop certification one follow certification r,azure administrator,architecture design large scale azure hybrid cloud deployment azure kubernete service azure public cloud provision dev test prod infrastructure code use azure cli powershell terraform define architecture high availability data redundancy datum loss prevention site recovery resilience define implement architecture high throughput scale capacity planning load balancing strategy define implement security architecture ensure data security rest transit application security key management identity management authentication authorization oidc infrastructure security azure vnet nsgs udr etc define log analytic monitor architecture use azure monitor azure application insight deploy infrastructure application software define networking ci cd pipeline use azure devop certification one follow certification r azure administrator
AEM architect,Aemarchitect,30.0,32.0,{bangalore},"Should have experience in java, OSGI, Components, workflows, templates, Schedulers, fragments, ",Permanent,"{sling,jackrabbit,OSGI,felix,JCR}",Venkata Sai Rohith,CIHW9344,9.96,15.0,30-45 days,Active,JDAA7883,2.2666666666666666,High,Work from Office,experience java osgi component workflow template scheduler fragment,sling jackrabbit osgi felix jcr,experience java osgi component workflow template scheduler fragment sling jackrabbit osgi felix jcr
Assistant Brand Manager,Assistant Brand Manager,800000.0,900000.0,{Ghargaon},"Classification: All - Finance / Accounts / Investment Banking

Skills Required: Sales,Social Media Marketing,Branding,Digital Marketing,Market Analysis

Job Description
Skills needed- male candidates only, FMCG and FMCD Industry, Brand Managment, digital marketing, ATL/BTL, social media marketing, sales, communication skills, market analysis.
Location- Gurgaon (WFO)
Experience- 2-7 Years
Relevant experience- 2 years is needed
Budget- upto 9 LPA
Notice period- Immediate-30 Days (max)
Interview process- 1 virtual + 1 F2F round (need candidate from Delhi NCR only)

Job details: -
- Designing Marketing ATL/BTL activities in accordance with the Market Analysis Marketing activation and execution of Activities developed for achieving ROI as per the Business objectives.
- Handling all ATL/BTL marketing activities with ownership and responsibility.
- Marketing communication that uses mass media channels such as television, radio, print, outdoor advertising, and online media to reach a wide audience.
- Identifying & ensuring that ATL/BTL activity are done as defined & documented.
- Implementing and tracking Marketing programs for distributors and retailers designed to increase Sales, Category Presence, Brand Visibility and Brand Awareness.
- Monitoring and evaluating Marketing Programs and ATL/BTL Campaigns and activities to measure effectiveness and recommendation of improvements as needed.
- To successfully coordinate for and represent the company in onsite/offsite meetings and prestigious annual industry trade shows.
- To create congenial environment for team members and develop healthy work atmosphere.
- To coordinate with vendors and agencies for ATL/BTL activity.",Permanent,"{Sales,""Social Media Marketing"",Branding,""Digital Marketing"",""Market Analysis""}",DB413862,CIMY4030,2.0,7.0,15-30 days,active,JDAB3826,1.0,Medium,Work from Office,classification finance account investment banking skill require sale social medium marketing branding digital marketing market analysis job description skill male candidate fmcg fmcd industry brand managment digital marketing atl btl social medium marketing sale communication skill market analysis gurgaon wfo year relevant year need upto lpa notice day max interview virtual round need candidate delhi ncr job detail design marketing atl btl activity accordance market analysis marketing activation execution activity develop achieve roi per business objective handling atl btl marketing activity ownership responsibility market communication use mass medium channel television radio print outdoor advertising online medium reach wide audience identify ensure atl btl activity do define document implement track marketing program distributor retailer design increase sale category presence brand visibility brand awareness monitor evaluate marketing program atl btl campaign activity measure effectiveness recommendation improvement need successfully coordinate represent company onsite offsite meeting prestigious annual industry trade show create congenial environment team member develop healthy work atmosphere coordinate vendor agency atl btl activity,media analysis,classification finance account investment banking skill require sale social medium marketing branding digital marketing market analysis job description skill male candidate fmcg fmcd industry brand managment digital marketing atl btl social medium marketing sale communication skill market analysis gurgaon wfo year relevant year need upto lpa notice day max interview virtual round need candidate delhi ncr job detail design marketing atl btl activity accordance market analysis marketing activation execution activity develop achieve roi per business objective handling atl btl marketing activity ownership responsibility market communication use mass medium channel television radio print outdoor advertising online medium reach wide audience identify ensure atl btl activity do define document implement track marketing program distributor retailer design increase sale category presence brand visibility brand awareness monitor evaluate marketing program atl btl campaign activity measure effectiveness recommendation improvement need successfully coordinate represent company onsite offsite meeting prestigious annual industry trade show create congenial environment team member develop healthy work atmosphere coordinate vendor agency atl btl activity media analysis
Azure BI Developer - Excellerate,Azure BI Developer - Excellerate,12.0,20.0,{Hyderabad},"Resource must have 5+ years of hands on experience in Azure Cloud development (ADF)
Mandatory Strong in Azure SQL and good to have knowledge on Synapse / Analytics Experience in working on Agile Project and familiar with Scrum/SAFe ceremonies.
Defines, designs, develops and test software components/applications using Microsoft Azure- Databricks, ADF, ADL, Hive, Python, Databricks, SparkSql, PySpark.
Expertise in Azure Data Bricks, ADF, ADL, Hive, Python, Spark, PySpark
Strong T-SQL skills with experience in Azure SQL DW
Experience handling Structured and unstructured datasets
Experience in Data Modeling and Advanced SQL techniques
Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.
Good exposure in Application Development.",Permanent,"{Azure,"" Synapse"","" ADF""}",PC138515,CIGT5528,6.0,10.0,15-30 days,Active,JDAB7664,1.0,High,Work from Office,resource must year hand experience azure cloud development adf mandatory strong azure sql good knowledge synapse analytic experience work agile project familiar scrum safe ceremony define design develop test software component application use microsoft databrick adf adl hive python databrick sparksql pyspark expertise azure data brick adf adl hive python spark pyspark strong sql skill experience azure sql dw experience handle structured unstructured dataset experience datum modeling advanced sql technique experience implement azure datum factory pipeline use late technology technique good exposure application development,azure synapse adf,resource must year hand experience azure cloud development adf mandatory strong azure sql good knowledge synapse analytic experience work agile project familiar scrum safe ceremony define design develop test software component application use microsoft databrick adf adl hive python databrick sparksql pyspark expertise azure data brick adf adl hive python spark pyspark strong sql skill experience azure sql dw experience handle structured unstructured dataset experience datum modeling advanced sql technique experience implement azure datum factory pipeline use late technology technique good exposure application development azure synapse adf
Angular Developer,Angular Developer,600000.0,1200000.0,{Hyderabad},"Requirements
Hands-on experience in UI development using Angular.
Ability to translate UI designs into fully functional interactive prototypes.
Hands-on experience in working on Rest API based communications.
Hands-on experience in developing Web Socket.
Hands-on experience in HTML5, CSS3, JS libraries like Bootstrap.
Knowledge of SVN/Git repository.
Data visualizations using canvas or SVG, High chart, D3.js, etc.
Experience working with Jasmine, Gulp, Web Pack.
Ability to work closely with UX research and design teams.
Understanding of cross-browser compatibility and accessibility standards (W3C Guidelines).
Awareness of UI design principles and best practices.
Experience working with CSS pre-processors (SASS), Material Design.
Hands on experience in IONIC Framework would be an added advantage.",Permanent,"{Angular,""Rest API""}",PC138515,CIDR3615,3.0,5.0,15-30 days,active,JDAD1928,2.0,High,Work from Office,requirement hand experience ui development use angular ability translate ui design fully functional interactive prototype hand experience work rest api base communication hand experience develop web socket hand experience js library like bootstrap knowledge svn git repository datum visualization use canvas svg high chart etc experience work jasmine gulp web pack ability work closely ux research design team understanding cross browser compatibility accessibility standard guideline awareness ui design principle good practice experience work css pre processor sass material design hand experience ionic framework would add advantage,api,requirement hand experience ui development use angular ability translate ui design fully functional interactive prototype hand experience work rest api base communication hand experience develop web socket hand experience js library like bootstrap knowledge svn git repository datum visualization use canvas svg high chart etc experience work jasmine gulp web pack ability work closely ux research design team understanding cross browser compatibility accessibility standard guideline awareness ui design principle good practice experience work css pre processor sass material design hand experience ionic framework would add advantage api
Angular Developer,Angular Developer,800000.0,1200000.0,{Hyderabad},"Minimum Qualifications:
Bachelor's degree in computer science engineering or equivalent practical experience.
Minimum 3 years of work experience in end to end application development.
Hands on experience working in software development with one or more languages (e.g. Angular, Java, Javascript, Typescript)
Excellent command over spoken and written English required 

Preferred Qualifications:
Candidates must have experience working in server backend systems as well as web APIs.
Must be open to learn other programming languages as needed.
Must have an ability to share knowledge via mentoring, reviewing code and reviewing design.
Must have a good hold on working with Full Stack Development software and web applications.

Skills Required
Typescript
Javascript
Angular
Java
Reactjs
Any SQL databases ( MySQL, MSSQL, PostgreSQL, SQL server)",Permanent,{Angular},PC138515,CIMT7642,4.0,8.0,15-30 days,active,JDAD1983,1.0,Hot,Work from Office,minimum qualification bachelor degree computer science engineering equivalent practical experience minimum year work experience end end application development hand experience work software development one language angular java javascript typescript excellent command speak write english require prefer qualification candidate must experience work server backend system well web apis must open learn programming language need must ability share knowledge via mentor review code review design must good hold work full stack development software web application skill require typescript javascript angular java reactjs sql database mysql mssql postgresql sql server,angular,minimum qualification bachelor degree computer science engineering equivalent practical experience minimum year work experience end end application development hand experience work software development one language angular java javascript typescript excellent command speak write english require prefer qualification candidate must experience work server backend system well web apis must open learn programming language need must ability share knowledge via mentor review code review design must good hold work full stack development software web application skill require typescript javascript angular java reactjs sql database mysql mssql postgresql sql server angular
Application Developer UNIX Shell ,ApplicationDeveloperOpensource,1000000.0,15000000.0,{ChennaiBangalorePune},"Should have max 5 to 6 yrs experience (7B band)
Should have strong linux base OS 
Should have strong database exp with Oracle with wrkng knowledge of Shell scripting and PL/SQL",Permanent,"{""Shell scripting"",Oracle,C++,Pl/sql}",sarojini,CIMT7642,5.0,6.0,15-30 days,inActive,JDAD3913,1.0,High,Work from Office,max yrs experience band strong linux base os strong database exp oracle wrkng knowledge shell scripting pl sql,shell sql,max yrs experience band strong linux base os strong database exp oracle wrkng knowledge shell scripting pl sql shell sql
Angular Developer,AngularDeveloper,10.0,13.0,{hyderabad},"Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
",Permanent,{Angular},sarojini,CIGT5528,3.0,6.0,0-15 days,Active,JDAD4411,1.0,High,Work from Home,work team member design implement visually aesthetic user interface identify issue front end code rectify remove bug create unit test ensure code function expect create well write documentation ensure front end code able query apis audit code identify bottleneck performance fix technical ability implement user interface use javascript angular framework know good practice modern way create interface ensure interface able interact backend apis also need great communication collaboration skill need interact fellow frontend backend developer regularly ensure component integrate together skill angular framework,angular,work team member design implement visually aesthetic user interface identify issue front end code rectify remove bug create unit test ensure code function expect create well write documentation ensure front end code able query apis audit code identify bottleneck performance fix technical ability implement user interface use javascript angular framework know good practice modern way create interface ensure interface able interact backend apis also need great communication collaboration skill need interact fellow frontend backend developer regularly ensure component integrate together skill angular framework angular
Application DeveloperLinux in versant,ApplicationDeveloperOpensource,1000000.0,1500000.0,{ChennaiBangalorePune},Should have exp in C++ Development in Linux and in Versant,Permanent,"{Linux,C++}",sarojini,CIMT7642,5.0,6.0,15-30 days,Active,JDAD5758,1.0,High,Work from Office,exp development linux versant,linux,exp development linux versant linux
Angular Developer,Developemnt,60000.0,1500000.0,{Hyderabad},"Designing, coding, testing, and deploying the application. Debugging issues in the application code to ensure it is working correctly. Integrating third-party libraries with the codebase to extend its functionality. Communicating with other team members on any pending tasks or changes in the project.   Ensuring that all code complies with best practices and standards set by the company or organization they work for.",Permanent,{Angular},sG585763,CIMT7642,5.0,7.0,0-15 days,Active,JDAD5888,2.0,Medium,Work from Office,designing code testing deploy application debug issue application code ensure work correctly integrate third party library codebase extend functionality communicate team member pende task change project ensure code complie good practice standard set company organization work,angular,designing code testing deploy application debug issue application code ensure work correctly integrate third party library codebase extend functionality communicate team member pende task change project ensure code complie good practice standard set company organization work angular
