"jobTitle","position","minBudget","maxBudget","travelReq","location","description","attachment","orgId","jobType","skills","recruiter","client","minExp","maxExp","noticePeriod","status","jobId","createDate","vacancies","priority","priceType","workType","comment","subvendorId","Questionnaires","country","department","eligibility","responsibilities"
"Plant Maintenance Engineer","Plant Maintenance Engineer",300000,600000,True,"{Hyderabad}","Read and understand the data from P&ID, PEFS, SLD, I/O list, line list, Cause & effect, Hazardous area classification, Alarm & Trip, F&G etc. Populating technical details from Various sources. Preparing Asset & maintenance plan data. Preparation of SPIR data. Bill of Material Build.
Immediate/30 days.
02 to 05 Years experience
Education : B.E or B.Tech - MECH/EEE/ECE/IE/ICE","",1,"Permanent","{""Plant Maintenance""}","DB413862","CIHI7757","2","5","15-30 days","Active","JDA&5399","2023-01-31 11:09:26.36189",2,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Adobe Analytics developer","AdobeAnalyticsdeveloper",14,15,True,"{ChennaiBangaloreHyderabad}","An understanding of the marketing technologies and their data and reporting capabilities.
Build of wireframes to present dashboards and reports in the best possible way to various different types of
stakeholders
Support managing standardization of BMC’s analytics reporting and dashboard capabilities
 Manage Quality Assurance and User Acceptance Testing the end-products and underlying data use
(correctness and completeness)
Work on all data collection platforms (website, video, advertising, social, CRM, etc.), identify and report
improvement areas, and provide support for any ad hoc report requests from stakeholders.
Provide performance analysis report with key highlights, insights &amp;amp; recommendations for future
Ability to translate data visualization requirements into wireframes and end-products for various internal
audiences.
Create data visualizations and business dashboards based on analytical data from multiple technologies.
","",1,"Permanent","{""Adobe anaytics"",Agile,tableau,Marketo,""power  BI"",sprinkler}","Venkata Sai Rohith","CIHW9344","3","4","15-30 days","Active","JDAA1476","2022-03-30 11:20:03.031659",1,"High",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"AEM architect","Aemarchitect",12,15,True,"{bangalore}","To analyze, understand the client’s business use cases and technical requirements and be able to
design, build &amp; integrate AEM Platform Templates,  
Components, Services to internal and external applications.","",1,"Permanent","{JIRA,Confluence,AEM}","Venkata Sai Rohith","CIHW9344","4","6","30-45 days","Active","JDAA5139","2022-03-07 13:21:41.393509",NULL,"Low",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Azure Administrator ","Azure Administrator ",14,16,False,"{""Pan India""}","1.	Architecture and Design for large scale Azure hybrid cloud deployments with Azure Kubernetes Services and Azure Public Cloud  2.	Provision Dev/Test/Prod Infrastructure as code using Azure CLI, Powershell, Terraform 3.	Define the architecture for high availability, data redundancy, data loss prevention, site recovery and resilience 4.	Define and implement the architecture for high throughput and scale with capacity planning, load balancing strategies 5.	Define and implement the security architecture to ensure data security at rest and in transit, application security, key management, identity management, authentication and authorization with OIDC and OAuth2, infrastructure security with Azure VNets, NSGs, UDR, etc. 6.	Define the log analytics and monitoring architecture using Azure Monitor, Azure Application Insights 7.	Deploy infrastructure, applications and software-defined networking through CI/CD pipeline using Azure DevOps Certifications (One of the following certifications is r","",1,"Permanent","{""Azure Administrator ""}","PC138515","CIQC2196","6","8","45-60 days","Active","JDAA6310","2023-05-04 12:23:28.16582",1,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"AEM architect","Aemarchitect",30,32,True,"{bangalore}","Should have experience in java, OSGI, Components, workflows, templates, Schedulers, fragments, ","https://storage.googleapis.com/hrm-musquare/jobs/AEM_ar1646660134",1,"Permanent","{sling,jackrabbit,OSGI,felix,JCR}","Venkata Sai Rohith","CIHW9344","9.96","15","30-45 days","Active","JDAA7883","2022-03-07 13:35:36.779486",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Assistant Brand Manager","Assistant Brand Manager",800000,900000,True,"{Ghargaon}","Classification: All - Finance / Accounts / Investment Banking

Skills Required: Sales,Social Media Marketing,Branding,Digital Marketing,Market Analysis

Job Description
Skills needed- male candidates only, FMCG and FMCD Industry, Brand Managment, digital marketing, ATL/BTL, social media marketing, sales, communication skills, market analysis.
Location- Gurgaon (WFO)
Experience- 2-7 Years
Relevant experience- 2 years is needed
Budget- upto 9 LPA
Notice period- Immediate-30 Days (max)
Interview process- 1 virtual + 1 F2F round (need candidate from Delhi NCR only)

Job details: -
- Designing Marketing ATL/BTL activities in accordance with the Market Analysis Marketing activation and execution of Activities developed for achieving ROI as per the Business objectives.
- Handling all ATL/BTL marketing activities with ownership and responsibility.
- Marketing communication that uses mass media channels such as television, radio, print, outdoor advertising, and online media to reach a wide audience.
- Identifying & ensuring that ATL/BTL activity are done as defined & documented.
- Implementing and tracking Marketing programs for distributors and retailers designed to increase Sales, Category Presence, Brand Visibility and Brand Awareness.
- Monitoring and evaluating Marketing Programs and ATL/BTL Campaigns and activities to measure effectiveness and recommendation of improvements as needed.
- To successfully coordinate for and represent the company in onsite/offsite meetings and prestigious annual industry trade shows.
- To create congenial environment for team members and develop healthy work atmosphere.
- To coordinate with vendors and agencies for ATL/BTL activity.",NULL,1,"Permanent","{Sales,""Social Media Marketing"",Branding,""Digital Marketing"",""Market Analysis""}","DB413862","CIMY4030","2","7","15-30 days","active","JDAB3826","2023-09-28 11:46:43.924258",1,"Medium","INR","Work from Office",NULL,NULL,NULL,"IN",NULL,NULL,NULL
"Azure BI Developer - Excellerate","Azure BI Developer - Excellerate",12,20,False,"{Hyderabad}","Resource must have 5+ years of hands on experience in Azure Cloud development (ADF)
Mandatory Strong in Azure SQL and good to have knowledge on Synapse / Analytics Experience in working on Agile Project and familiar with Scrum/SAFe ceremonies.
Defines, designs, develops and test software components/applications using Microsoft Azure- Databricks, ADF, ADL, Hive, Python, Databricks, SparkSql, PySpark.
Expertise in Azure Data Bricks, ADF, ADL, Hive, Python, Spark, PySpark
Strong T-SQL skills with experience in Azure SQL DW
Experience handling Structured and unstructured datasets
Experience in Data Modeling and Advanced SQL techniques
Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.
Good exposure in Application Development.","",1,"Permanent","{Azure,"" Synapse"","" ADF""}","PC138515","CIGT5528","6","10","15-30 days","Active","JDAB7664","2023-01-17 11:14:05.583093",1,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Angular Developer","Angular Developer",600000,1200000,False,"{Hyderabad}","Requirements
Hands-on experience in UI development using Angular.
Ability to translate UI designs into fully functional interactive prototypes.
Hands-on experience in working on Rest API based communications.
Hands-on experience in developing Web Socket.
Hands-on experience in HTML5, CSS3, JS libraries like Bootstrap.
Knowledge of SVN/Git repository.
Data visualizations using canvas or SVG, High chart, D3.js, etc.
Experience working with Jasmine, Gulp, Web Pack.
Ability to work closely with UX research and design teams.
Understanding of cross-browser compatibility and accessibility standards (W3C Guidelines).
Awareness of UI design principles and best practices.
Experience working with CSS pre-processors (SASS), Material Design.
Hands on experience in IONIC Framework would be an added advantage.",NULL,1,"Permanent","{Angular,""Rest API""}","PC138515","CIDR3615","3","5","15-30 days","active","JDAD1928","2023-09-01 07:12:39.158315",2,"High","INR","Work from Office",NULL,NULL,NULL,"IN",NULL,NULL,NULL
"Angular Developer","Angular Developer",800000,1200000,False,"{Hyderabad}","Minimum Qualifications:
Bachelor's degree in computer science engineering or equivalent practical experience.
Minimum 3 years of work experience in end to end application development.
Hands on experience working in software development with one or more languages (e.g. Angular, Java, Javascript, Typescript)
Excellent command over spoken and written English required 

Preferred Qualifications:
Candidates must have experience working in server backend systems as well as web APIs.
Must be open to learn other programming languages as needed.
Must have an ability to share knowledge via mentoring, reviewing code and reviewing design.
Must have a good hold on working with Full Stack Development software and web applications.

Skills Required
Typescript
Javascript
Angular
Java
Reactjs
Any SQL databases ( MySQL, MSSQL, PostgreSQL, SQL server)",NULL,1,"Permanent","{Angular}","PC138515","CIMT7642","4","8","15-30 days","active","JDAD1983","2023-07-24 07:12:48.080257",1,"Hot","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Application Developer UNIX Shell ","ApplicationDeveloperOpensource",1000000,15000000,False,"{ChennaiBangalorePune}","Should have max 5 to 6 yrs experience (7B band)
Should have strong linux base OS 
Should have strong database exp with Oracle with wrkng knowledge of Shell scripting and PL/SQL","",1,"Permanent","{""Shell scripting"",Oracle,C++,Pl/sql}","sarojini","CIMT7642","5","6","15-30 days","inActive","JDAD3913","2022-07-22 07:27:49.793942",1,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
